PTN_No,RPM_moni,Idref_moni,Iqref_moni,Id0_1st,Iq0_1st,Vd_1st,Vq_1st
1,1500,-60.0,0.0,-60.0,0.0,-2.4,29.416616971153392
2,1500,-60.0,8.571428571428571,-60.0,8.571428571428571,-5.321246012376091,29.770076643000063
3,1500,-60.0,-8.571428571428571,-60.0,-8.571428571428571,0.5212460123760909,29.08436235728578
4,1500,-60.0,17.142857142857142,-60.0,17.142857142857142,-8.242492024752181,30.144741372825806
5,1500,-60.0,-17.142857142857142,-60.0,-17.142857142857142,3.4424920247521817,28.773312801397232
6,1500,-60.0,25.71428571428571,-60.0,25.71428571428571,-11.16373803712827,30.540611160630608
7,1500,-60.0,-25.71428571428571,-60.0,-25.71428571428571,6.36373803712827,28.48346830348775
8,1500,-60.0,34.285714285714285,-60.0,34.285714285714285,-14.084984049504364,30.957686006414477
9,1500,-60.0,-34.285714285714285,-60.0,-34.285714285714285,9.284984049504363,28.214828863557337
10,1500,-60.0,42.857142857142854,-60.0,42.857142857142854,-17.00623006188045,31.395965910177416
11,1500,-60.0,-42.857142857142854,-60.0,-42.857142857142854,12.206230061880452,27.967394481605986
12,1500,-60.0,51.42857142857142,-60.0,51.42857142857142,-19.92747607425654,31.85545087191941
13,1500,-60.0,-51.42857142857142,-60.0,-51.42857142857142,15.12747607425654,27.741165157633695
14,1500,-60.0,60.0,-60.0,60.0,-22.848722086632634,32.336140891640476
15,1500,-60.0,-60.0,-60.0,-60.0,18.048722086632637,27.536140891640475
16,1500,-48.0,0.0,-48.0,0.0,-1.92,31.472726531074834
17,1500,-48.0,8.571428571428571,-48.0,8.571428571428571,-4.873780819828358,31.828220293122634
18,1500,-48.0,-8.571428571428571,-48.0,-8.571428571428571,1.0337808198283582,31.14250600740835
19,1500,-48.0,17.142857142857142,-48.0,17.142857142857142,-7.827561639656716,32.20898729355176
20,1500,-48.0,-17.142857142857142,-48.0,-17.142857142857142,3.9875616396567164,30.837558722123187
21,1500,-48.0,25.71428571428571,-48.0,25.71428571428571,-10.781342459485073,32.61502753236219
22,1500,-48.0,-25.71428571428571,-48.0,-25.71428571428571,6.941342459485073,30.55788467521933
23,1500,-48.0,34.285714285714285,-48.0,34.285714285714285,-13.735123279313433,33.046341009553956
24,1500,-48.0,-34.285714285714285,-48.0,-34.285714285714285,9.895123279313433,30.303483866696816
25,1500,-48.0,42.857142857142854,-48.0,42.857142857142854,-16.688904099141794,33.502927725127016
26,1500,-48.0,-42.857142857142854,-48.0,-42.857142857142854,12.848904099141793,30.074356296555585
27,1500,-48.0,51.42857142857142,-48.0,51.42857142857142,-19.642684918970147,33.98478767908141
28,1500,-48.0,-51.42857142857142,-48.0,-51.42857142857142,15.802684918970145,29.870501964795697
29,1500,-48.0,60.0,-48.0,60.0,-22.596465738798514,34.49192087141711
30,1500,-48.0,-60.0,-48.0,-60.0,18.75646573879851,29.69192087141711
31,1500,-36.0,0.0,-36.0,0.0,-1.44,33.52883609099628
32,1500,-36.0,8.571428571428571,-36.0,8.571428571428571,-4.432011079843781,33.88636394324521
33,1500,-36.0,-8.571428571428571,-36.0,-8.571428571428571,1.5520110798437803,33.200649657530924
34,1500,-36.0,17.142857142857142,-36.0,17.142857142857142,-7.42402215968756,34.27323321427771
35,1500,-36.0,-17.142857142857142,-36.0,-17.142857142857142,4.544022159687561,32.90180464284914
36,1500,-36.0,25.71428571428571,-36.0,25.71428571428571,-10.416033239531338,34.68944390409378
37,1500,-36.0,-25.71428571428571,-36.0,-25.71428571428571,7.5360332395313385,32.632301046950914
38,1500,-36.0,34.285714285714285,-36.0,34.285714285714285,-13.40804431937512,35.13499601269343
39,1500,-36.0,-34.285714285714285,-36.0,-34.285714285714285,10.528044319375121,32.39213886983628
40,1500,-36.0,42.857142857142854,-36.0,42.857142857142854,-16.400055399218903,35.60988954007664
41,1500,-36.0,-42.857142857142854,-36.0,-42.857142857142854,13.520055399218903,32.181318111505206
42,1500,-36.0,51.42857142857142,-36.0,51.42857142857142,-19.392066479062677,36.11412448624341
43,1500,-36.0,-51.42857142857142,-36.0,-51.42857142857142,16.512066479062675,31.999838771957698
44,1500,-36.0,60.0,-36.0,60.0,-22.384077558906466,36.647700851193775
45,1500,-36.0,-60.0,-36.0,-60.0,19.504077558906463,31.84770085119378
46,1500,-24.0,0.0,-24.0,0.0,-0.96,35.58494565091773
47,1500,-24.0,8.571428571428571,-24.0,8.571428571428571,-3.995936792422357,35.94450759336778
48,1500,-24.0,-8.571428571428571,-24.0,-8.571428571428571,2.075936792422357,35.2587933076535
49,1500,-24.0,17.142857142857142,-24.0,17.142857142857142,-7.031873584844714,36.33747913500367
50,1500,-24.0,-17.142857142857142,-24.0,-17.142857142857142,5.111873584844714,34.9660505635751
