PTN_No,Arms_moni,Adeg_moni,Vac_moni,Iac_moni,RPM_moni,Trq_1st,Idref_moni,Iqref_moni,Id0_1st,Iq0_1st,Vd_1st,Vq_1st,pair_group
1,57.73502691896258,90.0,0,57.73502691896258,1500,0.0,-100.0,0.0,-100.0,0.0,-4.0,22.61946710584651,0_0
2,58.18433351570392,82.8749836510982,0,58.18433351570392,1500,4.455703125,-100.0,12.5,-100.0,12.5,-8.170464247640451,23.128302835184734,0_1
3,58.18433351570392,97.1250163489018,0,58.18433351570392,1500,-4.455703125,-100.0,-12.5,-100.0,-12.5,0.1704642476404512,22.128302835184734,0_1
4,59.51190357119042,75.96375653207353,0,59.51190357119042,1500,8.915624999999999,-100.0,25.0,-100.0,25.0,-12.340928495280902,23.654810023199396,0_2
5,59.51190357119042,104.03624346792648,0,59.51190357119042,1500,-8.915624999999999,-100.0,-25.0,-100.0,-25.0,4.340928495280902,21.654810023199396,0_2
6,61.66103577895309,69.44395478041653,0,61.66103577895309,1500,13.383984374999999,-100.0,37.5,-100.0,37.5,-16.511392742921352,24.198988669890504,0_3
7,61.66103577895309,110.55604521958347,0,61.66103577895309,1500,-13.383984374999999,-100.0,-37.5,-100.0,-37.5,8.511392742921352,21.198988669890504,0_3
8,64.54972243679029,63.43494882292201,0,64.54972243679029,1500,17.865000000000002,-100.0,50.0,-100.0,50.0,-20.681856990561805,24.76083877525805,0_4
9,64.54972243679029,116.56505117707799,0,64.54972243679029,1500,-17.865000000000002,-100.0,-50.0,-100.0,-50.0,12.681856990561805,20.76083877525805,0_4
10,68.08389432653414,57.9946167919165,0,68.08389432653414,1500,22.362890625,-100.0,62.5,-100.0,62.5,-24.852321238202254,25.34036033930204,0_5
11,68.08389432653414,122.0053832080835,0,68.08389432653414,1500,-22.362890625,-100.0,-62.5,-100.0,-62.5,16.852321238202254,20.34036033930204,0_5
12,72.16878364870323,53.13010235415598,0,72.16878364870323,1500,26.881875,-100.0,75.0,-100.0,75.0,-29.022785485842704,25.937553362022477,0_6
13,72.16878364870323,126.86989764584402,0,72.16878364870323,1500,-26.881875,-100.0,-75.0,-100.0,-75.0,21.022785485842704,19.937553362022477,0_6
14,76.71646933134154,48.81407483429036,0,76.71646933134154,1500,31.426171874999998,-100.0,87.5,-100.0,87.5,-33.19324973348316,26.552417843419352,0_7
15,76.71646933134154,131.18592516570965,0,76.71646933134154,1500,-31.426171874999998,-100.0,-87.5,-100.0,-87.5,25.193249733483153,19.552417843419352,0_7
16,81.64965809277261,45.0,0,81.64965809277261,1500,36.0,-100.0,100.0,-100.0,100.0,-37.36371398112361,27.184953783492674,0_8
