PTN_No,RPM_moni,Idref_moni,Iqref_moni,Id0_1st,Iq0_1st,Vd_1st,Vq_1st
1,-800,-24.0,0.0,-24.0,0.0,-2.88,-10.677142456196414
2,-800,-24.0,3.428571428571429,-24.0,3.428571428571429,-1.8196958918042339,-10.269562210104782
3,-800,-24.0,-3.428571428571429,-24.0,-3.428571428571429,-3.940304108195766,-11.092419352961924
4,-800,-24.0,6.857142857142858,-24.0,6.857142857142858,-0.7593917836084678,-9.869678614687038
5,-800,-24.0,-6.857142857142858,-24.0,-6.857142857142858,-5.000608216391532,-11.515392900401322
6,-800,-24.0,10.285714285714285,-24.0,10.285714285714285,0.3009123245872982,-9.47749166994317
7,-800,-24.0,-10.285714285714285,-24.0,-10.285714285714285,-6.060912324587298,-11.9460630985146
8,-800,-24.0,13.714285714285715,-24.0,13.714285714285715,1.3612164327830643,-9.093001375873191
9,-800,-24.0,-13.714285714285715,-24.0,-13.714285714285715,-7.121216432783064,-12.384429947301763
10,-800,-24.0,17.142857142857142,-24.0,17.142857142857142,2.4215205409788307,-8.716207732477091
11,-800,-24.0,-17.142857142857142,-24.0,-17.142857142857142,-8.18152054097883,-12.830493446762805
12,-800,-24.0,20.57142857142857,-24.0,20.57142857142857,3.4818246491745963,-8.347110739754877
13,-800,-24.0,-20.57142857142857,-24.0,-20.57142857142857,-9.241824649174596,-13.284253596897733
14,-800,-24.0,24.0,-24.0,24.0,4.542128757370362,-7.985710397706542
15,-800,-24.0,-24.0,-24.0,-24.0,-10.302128757370362,-13.745710397706542
16,-800,-19.2,0.0,-19.2,0.0,-2.304,-11.423434074241975
17,-800,-19.2,3.428571428571429,-19.2,3.428571428571429,-1.2318869616919292,-11.016592127556681
18,-800,-19.2,-3.428571428571429,-19.2,-3.428571428571429,-3.3761130383080706,-11.839449270413823
19,-800,-19.2,6.857142857142858,-19.2,6.857142857142858,-0.15977392338385865,-10.618923430357938
20,-800,-19.2,-6.857142857142858,-19.2,-6.857142857142858,-4.448226076616141,-12.264637716072222
21,-800,-19.2,10.285714285714285,-19.2,10.285714285714285,0.9123391149242117,-10.230427982645745
22,-800,-19.2,-10.285714285714285,-19.2,-10.285714285714285,-5.520339114924211,-12.698999411217175
23,-800,-19.2,13.714285714285715,-19.2,13.714285714285715,1.9844521532322825,-9.851105784420108
24,-800,-19.2,-13.714285714285715,-19.2,-13.714285714285715,-6.592452153232282,-13.14253435584868
25,-800,-19.2,17.142857142857142,-19.2,17.142857142857142,3.0565651915403538,-9.480956835681022
26,-800,-19.2,-17.142857142857142,-19.2,-17.142857142857142,-7.664565191540353,-13.595242549966736
27,-800,-19.2,20.57142857142857,-19.2,20.57142857142857,4.128678229848424,-9.11998113642849
28,-800,-19.2,-20.57142857142857,-19.2,-20.57142857142857,-8.736678229848422,-14.057123993571347
29,-800,-19.2,24.0,-19.2,24.0,5.200791268156495,-8.768178686662509
30,-800,-19.2,-24.0,-19.2,-24.0,-9.808791268156495,-14.528178686662507
31,-800,-14.399999999999999,0.0,-14.399999999999999,0.0,-1.7279999999999998,-12.169725692287539
32,-800,-14.399999999999999,3.428571428571429,-14.399999999999999,3.428571428571429,-0.642010793241887,-11.763622045008578
33,-800,-14.399999999999999,-3.428571428571429,-14.399999999999999,-3.428571428571429,-2.8139892067581123,-12.58647918786572
34,-800,-14.399999999999999,6.857142857142858,-14.399999999999999,6.857142857142858,0.4439784135162257,-11.368168246028839
35,-800,-14.399999999999999,-6.857142857142858,-14.399999999999999,-6.857142857142858,-3.899978413516225,-13.013882531743123
36,-800,-14.399999999999999,10.285714285714285,-14.399999999999999,10.285714285714285,1.5299676202743373,-10.98336429534832
37,-800,-14.399999999999999,-10.285714285714285,-14.399999999999999,-10.285714285714285,-4.985967620274337,-13.45193572391975
38,-800,-14.399999999999999,13.714285714285715,-14.399999999999999,13.714285714285715,2.615956827032451,-10.609210192967028
39,-800,-14.399999999999999,-13.714285714285715,-14.399999999999999,-13.714285714285715,-6.071956827032451,-13.9006387643956
40,-800,-14.399999999999999,17.142857142857142,-14.399999999999999,17.142857142857142,3.7019460337905636,-10.245705938884957
41,-800,-14.399999999999999,-17.142857142857142,-14.399999999999999,-17.142857142857142,-7.157946033790563,-14.35999165317067
42,-800,-14.399999999999999,20.57142857142857,-14.399999999999999,20.57142857142857,4.787935240548674,-9.892851533102107
43,-800,-14.399999999999999,-20.57142857142857,-14.399999999999999,-20.57142857142857,-8.243935240548673,-14.829994390244963
44,-800,-14.399999999999999,24.0,-14.399999999999999,24.0,5.873924447306789,-9.55064697561848
45,-800,-14.399999999999999,-24.0,-14.399999999999999,-24.0,-9.329924447306787,-15.310646975618479
46,-800,-9.6,0.0,-9.6,0.0,-1.152,-12.916017310333102
47,-800,-9.6,3.428571428571429,-9.6,3.428571428571429,-0.050067386454107465,-12.510651962460473
48,-800,-9.6,-3.428571428571429,-9.6,-3.428571428571429,-2.253932613545892,-13.333509105317615
49,-800,-9.6,6.857142857142858,-9.6,6.857142857142858,1.051865227091785,-12.117413061699743
50,-800,-9.6,-6.857142857142858,-9.6,-6.857142857142858,-3.355865227091785,-13.763127347414027
51,-800,-9.6,10.285714285714285,-9.6,10.285714285714285,2.153797840637676,-11.736300608050898
52,-800,-9.6,-10.285714285714285,-9.6,-10.285714285714285,-4.457797840637676,-14.204872036622328
53,-800,-9.6,13.714285714285715,-9.6,13.714285714285715,3.2557304541835697,-11.367314601513948
54,-800,-9.6,-13.714285714285715,-9.6,-13.714285714285715,-5.55973045418357,-14.65874317294252
55,-800,-9.6,17.142857142857142,-9.6,17.142857142857142,4.357663067729462,-11.01045504208889
56,-800,-9.6,-17.142857142857142,-9.6,-17.142857142857142,-6.661663067729462,-15.124740756374603
57,-800,-9.6,20.57142857142857,-9.6,20.57142857142857,5.459595681275352,-10.665721929775724
58,-800,-9.6,-20.57142857142857,-9.6,-20.57142857142857,-7.763595681275352,-15.60286478691858
59,-800,-9.6,24.0,-9.6,24.0,6.561528294821246,-10.333115264574445
60,-800,-9.6,-24.0,-9.6,-24.0,-8.865528294821246,-16.093115264574447
61,-800,-4.8,0.0,-4.8,0.0,-0.576,-13.662308928378662
62,-800,-4.8,3.428571428571429,-4.8,3.428571428571429,0.5439432586714096,-13.257681879912372
63,-800,-4.8,-3.428571428571429,-4.8,-3.428571428571429,-1.6959432586714094,-14.080539022769514
