PTN_No,Arms_moni,Adeg_moni,Vac_moni,Iac_moni,RPM_moni,Trq_1st,Idref_moni,Iqref_moni,Id0_1st,Iq0_1st,Vd_1st,Vq_1st,pair_group
1,23.094010767585033,90.0,0,23.094010767585033,-800,0.0,-40.0,0.0,-40.0,0.0,-4.8,-8.210028801381325,0_0
2,23.27373340628157,82.8749836510982,0,23.27373340628157,-800,1.2129414062500001,-40.0,5.0,-40.0,5.0,-3.286275939745318,-7.613235843881865,0_1
3,23.27373340628157,97.1250163489018,0,23.27373340628157,-800,-1.2129414062500001,-40.0,-5.0,-40.0,-5.0,-6.313724060254682,-8.813235843881865,0_1
4,23.80476142847617,75.96375653207353,0,23.80476142847617,-800,2.4270312500000006,-40.0,10.0,-40.0,10.0,-1.7725518794906354,-7.022856971383482,0_2
5,23.80476142847617,104.03624346792648,0,23.80476142847617,-800,-2.4270312500000006,-40.0,-10.0,-40.0,-10.0,-7.827448120509365,-9.422856971383482,0_2
6,24.664414311581236,69.44395478041653,0,24.664414311581236,-800,3.64341796875,-40.0,15.0,-40.0,15.0,-0.2588278192359539,-6.438892183886181,0_3
7,24.664414311581236,110.55604521958347,0,24.664414311581236,-800,-3.64341796875,-40.0,-15.0,-40.0,-15.0,-9.341172180764046,-10.03889218388618,0_3
8,25.819888974716115,63.43494882292201,0,25.819888974716115,-800,4.863250000000001,-40.0,20.0,-40.0,20.0,1.254896241018729,-5.8613414813899585,0_4
9,25.819888974716115,116.56505117707799,0,25.819888974716115,-800,-4.863250000000001,-40.0,-20.0,-40.0,-20.0,-10.854896241018729,-10.66134148138996,0_4
10,27.233557730613654,57.9946167919165,0,27.233557730613654,-800,6.0876757812500015,-40.0,25.0,-40.0,25.0,2.76862030127341,-5.2902048638948145,0_5
11,27.233557730613654,122.0053832080835,0,27.233557730613654,-800,-6.0876757812500015,-40.0,-25.0,-40.0,-25.0,-12.36862030127341,-11.290204863894814,0_5
12,28.86751345948129,53.13010235415598,0,28.86751345948129,-800,7.317843750000001,-40.0,30.0,-40.0,30.0,4.282344361528092,-4.72548233140075,0_6
13,28.86751345948129,126.86989764584402,0,28.86751345948129,-800,-7.317843750000001,-40.0,-30.0,-40.0,-30.0,-13.88234436152809,-11.92548233140075,0_6
14,30.686587732536616,48.81407483429036,0,30.686587732536616,-800,8.554902343750001,-40.0,35.0,-40.0,35.0,5.796068421782773,-4.167173883907764,0_7
15,30.686587732536616,131.18592516570965,0,30.686587732536616,-800,-8.554902343750001,-40.0,-35.0,-40.0,-35.0,-15.396068421782772,-12.567173883907763,0_7
16,32.65986323710904,45.0,0,32.65986323710904,-800,9.8,-40.0,40.0,-40.0,40.0,7.309792482037458,-3.615279521415858,0_8
17,32.65986323710904,135.0,0,32.65986323710904,-800,-9.8,-40.0,-40.0,-40.0,-40.0,-16.909792482037457,-13.215279521415859,0_8
18,19.245008972987527,90.0,0,19.245008972987527,-800,0.0,-33.333333333333336,0.0,-33.333333333333336,0.0,-4.0,-9.236282401553991,1_0
19,19.460310986818886,81.46923439005187,0,19.460310986818886,-800,1.1583977141203705,-33.333333333333336,5.0,-33.333333333333336,5.0,-2.474873121965622,-8.641627472388224,1_1
20,19.460310986818886,98.53076560994813,0,19.460310986818886,-800,-1.1583977141203705,-33.333333333333336,-5.0,-33.333333333333336,-5.0,-5.525126878034378,-9.841627472388224,1_1
21,20.09237924447236,73.30075576600639,0,20.09237924447236,-800,2.318709490740741,-33.333333333333336,10.0,-33.333333333333336,10.0,-0.9497462439312438,-8.057662684890921,1_2
22,20.09237924447236,106.69924423399362,0,20.09237924447236,-800,-2.318709490740741,-33.333333333333336,-10.0,-33.333333333333336,-10.0,-7.050253756068756,-10.45766268489092,1_2
23,21.103799903580647,65.77225468204583,0,21.103799903580647,-800,3.4828493923611115,-33.333333333333336,15.0,-33.333333333333336,15.0,0.5753806341031344,-7.484388039062083,1_3
24,21.103799903580647,114.22774531795417,0,21.103799903580647,-800,-3.4828493923611115,-33.333333333333336,-15.0,-33.333333333333336,-15.0,-8.575380634103134,-11.084388039062084,1_3
25,22.44334430747129,59.03624346792648,0,22.44334430747129,-800,4.6527314814814815,-33.333333333333336,20.0,-33.333333333333336,20.0,2.1005075121375123,-6.921803534901711,1_4
26,22.44334430747129,120.96375653207352,0,22.44334430747129,-800,-4.6527314814814815,-33.333333333333336,-20.0,-33.333333333333336,-20.0,-10.100507512137511,-11.721803534901712,1_4
27,24.05626121623441,53.13010235415599,0,24.05626121623441,-800,5.830269820601853,-33.333333333333336,25.0,-33.333333333333336,25.0,3.62563439017189,-6.369909172409807,1_5
28,24.05626121623441,126.86989764584402,0,24.05626121623441,-800,-5.830269820601853,-33.333333333333336,-25.0,-33.333333333333336,-25.0,-11.62563439017189,-12.369909172409807,1_5
29,25.891511550513435,48.01278750418334,0,25.891511550513435,-800,7.017378472222223,-33.333333333333336,30.0,-33.333333333333336,30.0,5.150761268206269,-5.828704951586367,1_6
30,25.891511550513435,131.98721249581666,0,25.891511550513435,-800,-7.017378472222223,-33.333333333333336,-30.0,-33.333333333333336,-30.0,-13.150761268206269,-13.028704951586366,1_6
31,27.905263010831916,43.60281897270362,0,27.905263010831916,-800,8.215971498842592,-33.333333333333336,35.0,-33.333333333333336,35.0,6.675888146240645,-5.29819087243139,1_7
32,27.905263010831916,136.39718102729637,0,27.905263010831916,-800,-8.215971498842592,-33.333333333333336,-35.0,-33.333333333333336,-35.0,-14.675888146240645,-13.69819087243139,1_7
33,30.0616650188193,39.8055710922652,0,30.0616650188193,-800,9.427962962962964,-33.333333333333336,40.0,-33.333333333333336,40.0,8.201015024275025,-4.778366934944878,1_8
34,30.0616650188193,140.19442890773482,0,30.0616650188193,-800,-9.427962962962964,-33.333333333333336,-40.0,-33.333333333333336,-40.0,-16.201015024275023,-14.378366934944879,1_8
35,15.396007178390024,90.0,0,15.396007178390024,-800,0.0,-26.66666666666667,0.0,-26.66666666666667,0.0,-3.2000000000000006,-10.262536001726655,2_0
36,15.664302422079652,79.38034472384487,0,15.664302422079652,-800,1.103854021990741,-26.66666666666667,5.0,-26.66666666666667,5.0,-1.657768895296078,-9.670019100894583,2_1
37,15.664302422079652,100.61965527615513,0,15.664302422079652,-800,-1.103854021990741,-26.66666666666667,-5.0,-26.66666666666667,-5.0,-4.742231104703923,-10.870019100894583,2_1
38,16.442942874387494,69.44395478041653,0,16.442942874387494,-800,2.210387731481482,-26.66666666666667,10.0,-26.66666666666667,10.0,-0.11553779059215552,-9.09246839839836,2_2
39,16.442942874387494,110.55604521958347,0,16.442942874387494,-800,-2.210387731481482,-26.66666666666667,-10.0,-26.66666666666667,-10.0,-6.284462209407845,-11.492468398398358,2_2
40,17.664570106205165,60.642246457208735,0,17.664570106205165,-800,3.3222808159722224,-26.66666666666667,15.0,-26.66666666666667,15.0,1.4266933141117675,-8.529883894237987,2_3
